Date,Class-Type,Symbol,Year,Month,Strike-Price,P-C,Isin-Code,Mark-Price,Downside5,Downside4,Downside3,Downside2,Downside1,Upside1,Upside2,Upside3,Upside4,Upside5,Short-Adjustment,Volatility,Open-Interest,Cleared-Volume,Market-Id,Market-Id
20151126,O,ACE,2016,1,17.0,P,IT0012646177,3.1701,1.486625,1.18928,0.891935,0.59459,0.29725,0.29685,0.592876,0.887025,1.177453,1.461008,1.486625,0.18,0,0,2,2
20151126,O,ACE,2016,1,17.5,C,IT0012657745,0.00,0.00,0.00,0.00,0.000001,0.000006,0.000124,0.000441,0.001337,0.003563,0.008513,0.2972,0.178,0,0,2,2
20151126,O,ACE,2016,1,17.5,P,IT0012657752,3.67,1.486725,1.18938,0.892035,0.59469,0.297345,0.297305,0.59438,0.89087,1.186023,1.478446,1.486725,0.178,0,0,2,2
20151126,F,ACE,2016,2,0.0,,IT0012658065,13.8106,1.486725,1.18938,0.892035,0.59469,0.297345,0.297345,0.59469,0.892035,1.18938,1.486725,0.00,0.0,0,0,2,2
20151126,O,ACE,2016,2,10.5,C,IT0012662091,3.3312,1.462889,1.176937,0.885441,0.591573,0.29621,0.296937,0.594064,0.89129,1.18858,1.485908,1.485908,0.207,0,0,2,2
20151126,O,ACE,2016,2,10.5,P,IT0012662109,0.0009,0.02377,0.012376,0.006528,0.003051,0.001069,0.000474,0.000692,0.000811,0.000867,0.000884,0.2963,0.207,0,0,2,2
20151126,O,ACE,2016,2,11.0,C,IT0012662075,2.8345,1.42081,1.151071,0.871616,0.585369,0.293879,0.29533,0.591556,0.888418,1.185506,1.482712,1.482712,0.205,0,0,2,2
20151126,O,ACE,2016,2,11.0,P,IT0012662083,0.0041,0.065934,0.038327,0.020435,0.009338,0.003483,0.001999,0.003118,0.003601,0.003858,0.003997,0.2931,0.205,0,0,2,2
20151126,O,ACE,2016,2,11.5,C,IT0012662059,2.3436,1.342963,1.099874,0.839601,0.567488,0.286785,0.291504,0.585612,0.88097,1.177193,1.474054,1.474054,0.202,0,0,2,2
20151126,O,ACE,2016,2,11.5,P,IT0012662067,0.0132,0.143766,0.08951,0.052435,0.027202,0.010559,0.005842,0.00908,0.011066,0.012189,0.012672,0.284,0.202,0,0,2,2
20151126,O,ACE,2016,2,12.0,C,IT0012662034,1.8694,1.206971,1.00582,0.781151,0.536819,0.274143,0.281772,0.568968,0.860441,1.154639,1.449978,1.449978,0.2,0,0,2,2
20151126,O,ACE,2016,2,12.0,P,IT0012662042,0.039,0.279749,0.18355,0.110871,0.057855,0.023186,0.015591,0.025741,0.031613,0.03476,0.036766,0.279749,0.2,0,0,2,2
20151126,O,ACE,2016,2,12.5,C,IT0012662018,1.4236,1.026042,0.871632,0.687576,0.478469,0.248031,0.262696,0.539056,0.821834,1.109456,1.400922,1.400922,0.198,0,0,2,2
20151126,O,ACE,2016,2,12.5,P,IT0012662026,0.0932,0.460671,0.317734,0.204437,0.116194,0.049284,0.034682,0.055669,0.070236,0.07996,0.085838,0.460671,0.198,0,0,2,2
20151126,O,ACE,2016,2,13.0,C,IT0012661994,1.0263,0.804855,0.6989,0.565425,0.40456,0.217087,0.236298,0.488197,0.75275,1.029402,1.313301,1.313301,0.196,0,0,2,2
20151126,O,ACE,2016,2,13.0,P,IT0012662000,0.1958,0.681962,0.49056,0.326679,0.190192,0.080319,0.060995,0.106444,0.139237,0.15993,0.173377,0.681962,0.196,0,0,2,2
20151126,O,ACE,2016,2,13.5,C,IT0012661978,0.6945,0.585596,0.522141,0.432829,0.315392,0.170731,0.195073,0.412658,0.654835,0.910626,1.177464,1.177464,0.194,0,0,2,2
20151126,O,ACE,2016,2,13.5,P,IT0012661986,0.3641,0.901125,0.66722,0.459182,0.279261,0.126566,0.102333,0.182093,0.237266,0.278822,0.309331,0.901125,0.194,0,0,2,2
20151126,O,ACE,2016,2,14.0,C,IT0012661952,0.432,0.383362,0.3473,0.293898,0.219725,0.122258,0.154239,0.33501,0.538096,0.760879,1.003779,1.003779,0.192,0,0,2,2
20151126,O,ACE,2016,2,14.0,P,IT0012661960,0.6015,1.103483,0.842177,0.598214,0.375026,0.175135,0.14307,0.259653,0.353917,0.428483,0.482928,1.103483,0.192,0,0,2,2
20151126,O,ACE,2016,2,14.5,C,IT0012661812,0.2518,0.232332,0.215227,0.187846,0.146904,0.084795,0.108893,0.242305,0.399925,0.587236,0.79846,0.79846,0.19,0,0,2,2
20151126,O,ACE,2016,2,14.5,P,IT0012661820,0.9213,1.254534,0.974265,0.704278,0.447858,0.212612,0.188422,0.352365,0.492099,0.602133,0.68826,1.254534,0.19,0,0,2,2
20151126,O,ACE,2016,2,15.0,C,IT0012661838,0.1354,0.128765,0.121411,0.107911,0.085351,0.050422,0.068853,0.158041,0.278594,0.423288,0.590812,0.590812,0.189,0,0,2,2
